,id,speaker,text,topic,token,polarity,subjectivity,certainty
217,27,KAMALA HARRIS,Look at his tweet,economy,"['look', 'sweet']",0.35,0.65,0.75
218,27,KAMALA HARRIS,"''Thank you, President XI,'' exclamation point",economy,"['thank', 'president', 'xi', 'exclamation', 'point']",0.0,0.0,1.0
219,27,KAMALA HARRIS,When we know that XI was responsible for lacking and not giving us transparency about the origins of COVID.,economy,"['know', 'that', 'xi', 'be', 'responsible', 'lacking', 'not', 'give', 'transparent', 'the', 'origin', 'could']",0.2,0.55,0.08333333333333333
220,29,DONALD TRUMP,We hardly make chips anymore because of philosophies like they have and policies like they have,economy,"['hardly', 'make', 'chip', 'anymore', 'philosophy', 'have', 'policy', 'have']",-0.2916666666666667,0.5416666666666666,-0.75
221,29,DONALD TRUMP,I don't say her because she has no policy,economy,"['do', 'not', 'say', 'have', 'no', 'policy']",0.0,0.0,-0.125
222,29,DONALD TRUMP,Everything that she believed three years ago and four years ago is out the window,economy,"['everything', 'believe', 'three', 'year', 'ago', 'four', 'year', 'ago', 'be', 'the', 'window']",0.0,0.0,0.625
223,29,DONALD TRUMP,She's going to my philosophy now,economy,"['be', 'go', 'philosophy', 'now']",0.0,0.0,1.0
224,29,DONALD TRUMP,"In fact, I was going to send her a MAGA hat",economy,"['fact', 'be', 'go', 'send', 'a', 'magna', 'hat']",0.0,0.0,1.0
225,29,DONALD TRUMP,She's gone to my philosophy,economy,"['be', 'go', 'philosophy']",0.0,0.0,1.0
226,29,DONALD TRUMP,"But if she ever got elected, she'd change it",economy,"['ever', 'get', 'elect', 'will', 'change']",0.8,0.9,0.75
227,29,DONALD TRUMP,And it will be the end of our country,economy,"['will', 'be', 'the', 'end', 'country']",0.0,0.0,0.75
228,29,DONALD TRUMP,She's a Marxist,economy,"['be', 'a', 'artist']",0.0,0.0,1.0
229,29,DONALD TRUMP,Everybody knows she's a Marxist,economy,"['everybody', 'know', 'be', 'a', 'artist']",0.0,0.0,1.0
230,29,DONALD TRUMP,Her father's a Marxist professor in economics,economy,"['father', 'is', 'a', 'artist', 'professor', 'economic']",0.2,0.2,1.0
231,29,DONALD TRUMP,And he taught her well,economy,"['teach', 'well']",0.0,0.0,1.0
232,29,DONALD TRUMP,"But when you look at what she's done to our country and when you look at these millions and millions of people that are pouring into our country monthly where it's I believe 21 million people, not the 15 that people say, and I think it's a lot higher than the 21",economy,"['look', 'what', 'be', 'do', 'country', 'look', 'these', 'million', 'million', 'person', 'that', 'be', 'pour', 'country', 'monthly', 'be', 'believe', '21', 'million', 'person', 'not', 'the', '15', 'that', 'person', 'say', 'think', 'be', 'a', 'lot', 'higher', 'the', '21']",0.25,0.5,0.6428571428571429
233,29,DONALD TRUMP,That's bigger than New York state,economy,"['that', 'be', 'bigger', 'state']",0.0,0.5,1.0
234,29,DONALD TRUMP,Pouring in,economy,['pour'],0.0,0.0,1.0
235,29,DONALD TRUMP,And just look at what they're doing to our country,economy,"['just', 'look', 'what', 'be', 'do', 'country']",0.0,0.0,0.75
236,29,DONALD TRUMP,They're criminals,economy,"['be', 'criminal']",-0.4,0.55,1.0
